id,name
1,Van Cortlandt Park-242
2,238 St
3,231 St
4,Marble Hill-225 St
5,215 St
6,207 St
7,Dyckman St
8,191 St
9,181 St
10,168 St
11,157 St
12,145 St
13,137 St-City College
14,125 St
15,116 St-Columbia University
16,Cathedral Pkwy (110 St)
17,103 St
18,96 St
19,86 St
20,79 St
21,72 St
22,66 St-Lincoln Center
23,59 St-Columbus Circle
24,50 St
25,Times Sq-42 St
26,34 St-Penn Station
27,28 St
28,23 St
29,18 St
30,14 St
31,Christopher St-Stonewall
32,Houston St
33,Canal St
34,Franklin St
35,Chambers St
36,WTC Cortlandt
37,Rector St
38,South Ferry
39,Wakefield-241 St
40,Nereid Av
41,233 St
42,225 St
43,219 St
44,Gun Hill Rd
45,Burke Av
46,Allerton Av
47,Pelham Pkwy
48,Bronx Park East
49,E 180 St
50,West Farms Sq-E Tremont Av
51,174 St
52,Freeman St
53,Simpson St
54,Intervale Av
55,Prospect Av
56,Jackson Av
57,3 Av-149 St
58,149 St-Grand Concourse
59,135 St
60,116 St
61,Central Park North (110 St)
62,Park Place
63,Fulton St
64,Wall St
65,Clark St
66,Borough Hall
67,Hoyt St
68,Nevins St
69,Atlantic Av-Barclays Ctr
70,Bergen St
71,Grand Army Plaza
72,Eastern Pkwy-Brooklyn Museum
73,Franklin Av-Medgar Evers College
74,President St-Medgar Evers College
75,Sterling St
76,Winthrop St
77,Church Av
78,Beverly Rd
79,Newkirk Av-Little Haiti
80,Flatbush Av-Brooklyn College
81,Harlem-148 St
82,Times Square-42 St
83,Eastern Parkway-Brooklyn Museum
84,Nostrand Av
85,Kingston Av
86,Crown Heights-Utica Av
87,Sutter Ave-Rutland Rd
88,Saratoga Av
89,Rockaway Av
90,Junius St
91,Pennsylvania Av
92,Van Siclen Av
93,New Lots Av
94,Woodlawn
95,Mosholu Pkwy
96,Bedford Pk Blvd-Lehman College
97,Kingsbridge Rd
98,Fordham Rd
99,183 St
100,Burnside Av
101,176 St
102,Mt Eden Av
103,170 St
104,167 St
105,161 St-Yankee Stadium
106,138 St-Grand Concourse
107,59 St
108,Grand Central-42 St
109,14 St-Union Sq
110,Brooklyn Bridge-City Hall
111,Bowling Green
112,Eastchester-Dyre Av
113,Baychester Av
114,Morris Park
115,Pelham Bay Park
116,Buhre Av
117,Middletown Rd
118,Westchester Sq-East Tremont Av
119,Zerega Av
120,Castle Hill Av
121,Parkchester
122,St Lawrence Av
123,Morrison Av-Soundview
124,Elder Av
125,Whitlock Av
126,Hunts Point Av
127,Longwood Av
128,E 149 St
129,E 143 St-Mary's St
130,Cypress Av
131,Brook Av
132,3 Av-138 St
133,110 St
134,77 St
135,68 St-Hunter College
136,51 St
137,33 St
138,Astor Pl
139,Bleeker St
140,Spring St
141,Flushing-Main St
142,Mets-Willets Point
143,111 St
144,103 St-Corona Plaza
145,Junction Blvd
146,90 St-Elmhurst Av
147,82 St-Jackson Hts
148,74 St-Broadway
149,69 St
150,61 St-Woodside
151,52 St
152,46 St-Bliss St
153,40 St-Lowery St
154,33 St-Rawson St
155,Queensboro Plaza
156,Court Sq
157,Hunters Point Av
158,Vernon Blvd-Jackson Av
159,5 Av
160,34 St-Hudson Yards
